aoi,tile_path,row,col,positive_pixels
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00000.npz,0,0,1271
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00009.npz,0,1152,20073
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00027.npz,0,3456,683
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00044.npz,0,5632,11215
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00078.npz,0,9984,1106
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00079.npz,0,10112,15401
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00080.npz,0,10240,16450
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00134.npz,0,17152,843
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00135.npz,0,17280,1140
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00136.npz,0,17408,1436
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00137.npz,0,17536,3410
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00000_c00173.npz,0,22144,1596
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00000.npz,128,0,1663
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00001.npz,128,128,1258
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00002.npz,128,256,1801
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00003.npz,128,384,2062
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00004.npz,128,512,1451
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00005.npz,128,640,1811
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00006.npz,128,768,1785
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00007.npz,128,896,1890
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00008.npz,128,1024,18214
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00009.npz,128,1152,48142
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00010.npz,128,1280,58545
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00011.npz,128,1408,30994
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00012.npz,128,1536,4782
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00016.npz,128,2048,3050
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00017.npz,128,2176,4297
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00018.npz,128,2304,4590
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00019.npz,128,2432,3226
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00020.npz,128,2560,2499
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00021.npz,128,2688,2723
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00022.npz,128,2816,2941
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00023.npz,128,2944,2474
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00024.npz,128,3072,2328
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00025.npz,128,3200,2660
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00026.npz,128,3328,2414
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00027.npz,128,3456,2233
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00028.npz,128,3584,3564
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00029.npz,128,3712,3803
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00030.npz,128,3840,2479
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00031.npz,128,3968,1917
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00041.npz,128,5248,2409
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00042.npz,128,5376,24809
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00043.npz,128,5504,42674
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00044.npz,128,5632,20290
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00048.npz,128,6144,2183
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00049.npz,128,6272,2404
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00053.npz,128,6784,3146
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00055.npz,128,7040,3001
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00056.npz,128,7168,3592
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00057.npz,128,7296,2964
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00058.npz,128,7424,2498
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00059.npz,128,7552,2176
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00060.npz,128,7680,2046
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00061.npz,128,7808,4467
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00063.npz,128,8064,3380
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00064.npz,128,8192,3781
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00065.npz,128,8320,2848
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00066.npz,128,8448,3942
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00069.npz,128,8832,9039
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00070.npz,128,8960,5024
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00071.npz,128,9088,2302
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00072.npz,128,9216,2207
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00073.npz,128,9344,2052
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00074.npz,128,9472,2173
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00075.npz,128,9600,6141
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00077.npz,128,9856,3440
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00078.npz,128,9984,2585
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00079.npz,128,10112,16753
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00080.npz,128,10240,18330
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00081.npz,128,10368,3474
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00082.npz,128,10496,1739
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00083.npz,128,10624,2251
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00084.npz,128,10752,2631
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00085.npz,128,10880,2254
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00086.npz,128,11008,2221
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00087.npz,128,11136,2041
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00088.npz,128,11264,1640
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00089.npz,128,11392,1857
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00090.npz,128,11520,1809
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00092.npz,128,11776,2125
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00098.npz,128,12544,2202
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00099.npz,128,12672,2324
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00100.npz,128,12800,2028
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00101.npz,128,12928,3425
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00102.npz,128,13056,10482
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00108.npz,128,13824,2936
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00109.npz,128,13952,2406
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00110.npz,128,14080,9383
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00111.npz,128,14208,8906
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00114.npz,128,14592,5783
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00115.npz,128,14720,2365
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00116.npz,128,14848,3777
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00117.npz,128,14976,3629
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00121.npz,128,15488,8227
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00124.npz,128,15872,4512
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00126.npz,128,16128,2475
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00127.npz,128,16256,4176
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00128.npz,128,16384,5565
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00129.npz,128,16512,3596
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00130.npz,128,16640,4345
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00131.npz,128,16768,4238
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00132.npz,128,16896,1983
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00133.npz,128,17024,1909
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00134.npz,128,17152,1888
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00135.npz,128,17280,4847
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00136.npz,128,17408,5359
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00137.npz,128,17536,3614
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00138.npz,128,17664,3994
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00139.npz,128,17792,3156
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00140.npz,128,17920,3207
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00141.npz,128,18048,2447
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00143.npz,128,18304,3107
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00152.npz,128,19456,3536
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00153.npz,128,19584,2665
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00157.npz,128,20096,2766
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00158.npz,128,20224,4571
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00159.npz,128,20352,5234
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00160.npz,128,20480,3232
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00161.npz,128,20608,2501
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00172.npz,128,22016,2593
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00173.npz,128,22144,3006
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00174.npz,128,22272,2053
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00176.npz,128,22528,2750
marius_hills,data/processed/tiles/marius_hills/marius_hills_r00001_c00177.npz,128,22656,1419
